S.No,Gene Product,Gene (Common Name),Gene ID,Included in Training Set 1,Included in Training Set 2,Drug,Reference
22,Hexose transporter,HT1,PF3D7_0204700,Yes,Yes,"TCMDC-125163 [1]
C3361 [2]
Lopinavir [3]
Compound 3361 [4]","Heitmeier, Monique R et al. “Identification of druggable small molecule antagonists of the Plasmodium falciparum hexose transporter PfHT and assessment of ligand access to the glucose permeation pathway via FLAG-mediated protein engineering.” PloS one vol. 14,5 e0216457. 9 May. 2019, doi:10.1371/journal.pone.0216457
[1] Ortiz, Diana et al. “Identification of Selective Inhibitors of the Plasmodium falciparum Hexose Transporter PfHT by Screening Focused Libraries of Anti-Malarial Compounds.” PloS one vol. 10,4 e0123598. 20 Apr. 2015, doi:10.1371/journal.pone.0123598
[2] Jiang, Xin et al. “Structural Basis for Blocking Sugar Uptake into the Malaria Parasite Plasmodium falciparum.” Cell vol. 183,1 (2020): 258-268.e12. doi:10.1016/j.cell.2020.08.015
[3] Kraft, Thomas E et al. “The Glucose Transporter PfHT1 Is an Antimalarial Target of the HIV Protease Inhibitor Lopinavir.” Antimicrobial agents and chemotherapy vol. 59,10 (2015): 6203-9. doi:10.1128/AAC.00899-15
[4] Slavic, Ksenija et al. “Use of a selective inhibitor to define the chemotherapeutic potential of the plasmodial hexose transporter in different stages of the parasite's life cycle.” Antimicrobial agents and chemotherapy vol. 55,6 (2011): 2824-30. doi:10.1128/AAC.01739-10
Huang, Jian et al. “Orthosteric-allosteric dual inhibitors of PfHT1 as selective antimalarial agents.” Proceedings of the National Academy of Sciences of the United States of America vol. 118,3 (2021): e2017749118. doi:10.1073/pnas.2017749118
Joet, Thierry et al. “Validation of the hexose transporter of Plasmodium falciparum as a novel drug target.” Proceedings of the National Academy of Sciences of the United States of America vol. 100,13 (2003): 7476-9. doi:10.1073/pnas.1330865100"
23,non-SERCA-type Ca2+ -transporting P-ATPase,ATP4,PF3D7_1211900,Yes,Yes,"SJ733 [1]
Ciparmagin (KAE609) [2]
GNF-Pf4492 [3]
PA21A092 [4]","[1] Dechering, Koen J et al. “Modelling mosquito infection at natural parasite densities identifies drugs targeting EF2, PI4K or ATP4 as key candidates for interrupting malaria transmission.” Scientific reports vol. 7,1 17680. 15 Dec. 2017, doi:10.1038/s41598-017-16671-0
[2] van Pelt-Koops, J C et al. “The spiroindolone drug candidate NITD609 potently inhibits gametocytogenesis and blocks Plasmodium falciparum transmission to anopheles mosquito vector.” Antimicrobial agents and chemotherapy vol. 56,7 (2012): 3544-8. doi:10.1128/AAC.06377-11
[3] Flannery, Erika L et al. “Mutations in the P-type cation-transporter ATPase 4, PfATP4, mediate resistance to both aminopyrazole and spiroindolone antimalarials.” ACS chemical biology vol. 10,2 (2015): 413-20. doi:10.1021/cb500616x
Spillman, Natalie J et al. “Na(+) regulation in the malaria parasite Plasmodium falciparum involves the cation ATPase PfATP4 and is a target of the spiroindolone antimalarials.” Cell host & microbe vol. 13,2 (2013): 227-37. doi:10.1016/j.chom.2012.12.006"
24,FK506-binding protein,FKBP35,PF3D7_1247400,Yes,Yes,"FK506
Rapamycin","Thommen, Basil T et al. “Genetic validation of PfFKBP35 as an antimalarial drug target.” eLife vol. 12 RP86975. 7 Nov. 2023, doi:10.7554/eLife.86975
Monaghan, Paul et al. “The antimalarial action of FK506 and rapamycin: evidence for a direct effect on FK506-binding protein PfFKBP35.” Parasitology vol. 144,7 (2017): 869-876. doi:10.1017/S0031182017000245
Bianchin, Alessandra et al. “Two crystal structures of the FK506-binding domain of Plasmodium falciparum FKBP35 in complex with rapamycin at high resolution.” Acta crystallographica. Section D, Biological crystallography vol. 71,Pt 6 (2015): 1319-27. doi:10.1107/S1399004715006239"
25,Aspartate transcarbamoylase,FKBP35,PF3D7_1344800,Yes,Yes,"Torin 2 [1]
N-(Phosphonacetyl)-L-Aspartate (PALA) [2]
PALA analogs [2]","[1] Bosch, Soraya S et al. “Molecular Target Validation of Aspartate Transcarbamoylase from Plasmodium falciparum by Torin 2.” ACS infectious diseases vol. 6,5 (2020): 986-999. doi:10.1021/acsinfecdis.9b00411
[2] Wang, Chao et al. “Novel Highlight in Malarial Drug Discovery: Aspartate Transcarbamoylase.” Frontiers in cellular and infection microbiology vol. 12 841833. 4 Mar. 2022, doi:10.3389/fcimb.2022.841833
Cheuka, Peter Mubanga et al. “Emerging Drug Targets for Antimalarial Drug Discovery: Validation and Insights into Molecular Mechanisms of Function.” Journal of medicinal chemistry vol. 67,2 (2024): 838-863. doi:10.1021/acs.jmedchem.3c01828"
26,S-Adenosyl-Lhomocysteine hydrolase,SAHH,PF3D7_0520900,Yes,Yes,Curcumin,"Ando, Takayuki et al. “Synthesis of 2-modified aristeromycins and their analogs as potent inhibitors against Plasmodium falciparum S-adenosyl-L-homocysteine hydrolase.” Bioorganic & medicinal chemistry vol. 16,7 (2008): 3809-15. doi:10.1016/j.bmc.2008.01.046
Chandra, Girish et al. “S-adenosyl-L-homocysteine Hydrolase: Its Inhibitory Activity Against Plasmodium falciparum and Development of Malaria Drugs.” Mini reviews in medicinal chemistry vol. 21,7 (2021): 833-846. doi:10.2174/1389557521666201218155321
Singh, Dev Bukhsh et al. “Docking and in silico ADMET studies of noraristeromycin, curcumin and its derivatives with Plasmodium falciparum SAH hydrolase: a molecular drug target against malaria.” Interdisciplinary sciences, computational life sciences vol. 5,1 (2013): 1-12. doi:10.1007/s12539-013-0147-z"
27,Calcium-transporting ATPase,ATP6,PF3D7_0106300,Yes,Yes,"Thapsigargin [1]
Artemisinin [2]
Thaperoxides [3]","[1,2] del Pilar Crespo, Maria et al. “Artemisinin and a series of novel endoperoxide antimalarials exert early effects on digestive vacuole morphology.” Antimicrobial agents and chemotherapy vol. 52,1 (2008): 98-109. doi:10.1128/AAC.00609-07
[2] Moore, Catherine M et al. “Selective Inhibition of Plasmodium falciparum ATPase 6 by Artemisinins and Identification of New Classes of Inhibitors after Expression in Yeast.” Antimicrobial agents and chemotherapy vol. 66,5 (2022): e0207921. doi:10.1128/aac.02079-21
[2] Eckstein-Ludwig, U et al. “Artemisinins target the SERCA of Plasmodium falciparum.” Nature vol. 424,6951 (2003): 957-61. doi:10.1038/nature01813
[2,3] Pulcini, Serena et al. “Expression in yeast links field polymorphisms in PfATP6 to in vitro artemisinin resistance and identifies new inhibitor classes.” The Journal of infectious diseases vol. 208,3 (2013): 468-78. doi:10.1093/infdis/jit171"
28,Dipeptidyl aminopeptidase 1,DPAP1,PF3D7_1116700,Yes,Yes,MMV029272,"Cowell, Annie N et al. “Mapping the malaria parasite druggable genome by using in vitro evolution and chemogenomics.” Science (New York, N.Y.) vol. 359,6372 (2018): 191-199. doi:10.1126/science.aan4473
Deu, Edgar et al. “Functional studies of Plasmodium falciparum dipeptidyl aminopeptidase I using small molecule inhibitors and active site probes.” Chemistry & biology vol. 17,8 (2010): 808-19. doi:10.1016/j.chembiol.2010.06.007
Sanchez, Mateo I et al. “Identification of Plasmodium dipeptidyl aminopeptidase allosteric inhibitors by high throughput screening.” PloS one vol. 14,12 e0226270. 18 Dec. 2019, doi:10.1371/journal.pone.0226270"
29,Cyclin-dependent-like kinase 3,CLK3,PF3D7_1114700,Yes,Yes, TCMDC-135051,"Alam, Mahmood M et al. “Validation of the protein kinase PfCLK3 as a multistage cross-species malarial drug target.” Science (New York, N.Y.) vol. 365,6456 (2019): eaau1682. doi:10.1126/science.aau1682
Mahindra, Amit et al. “Development of Potent PfCLK3 Inhibitors Based on TCMDC-135051 as a New Class of Antimalarials.” Journal of medicinal chemistry vol. 63,17 (2020): 9300-9315. doi:10.1021/acs.jmedchem.0c00451
Mahmud, F et al. “Plasmodium falciparum protein kinase as a potential therapeutic target for antimalarial drugs development.” Tropical biomedicine vol. 37,3 (2020): 822-841. doi:10.47665/tb.37.3.822"
30,Serine hydroxymethyltransferase,cSHMT,PF3D7_1235600,Yes,Yes,Compound 4 [1],"[1] Cheuka, Peter Mubanga et al. “Emerging Drug Targets for Antimalarial Drug Discovery: Validation and Insights into Molecular Mechanisms of Function.” Journal of medicinal chemistry vol. 67,2 (2024): 838-863. doi:10.1021/acs.jmedchem.3c01828
Schwertz, Geoffrey et al. “Antimalarial Inhibitors Targeting Serine Hydroxymethyltransferase (SHMT) with in Vivo Efficacy and Analysis of their Binding Mode Based on X-ray Cocrystal Structures.” Journal of medicinal chemistry vol. 60,12 (2017): 4840-4860. doi:10.1021/acs.jmedchem.7b00008
Pornthanakasem, Wichai et al. “Plasmodium serine hydroxymethyltransferase: indispensability and display of distinct localization.” Malaria journal vol. 11 387. 22 Nov. 2012, doi:10.1186/1475-2875-11-387"
31,Deoxyuridine 5'-triphosphate nucleotidohydrolase,dUTPase,PF3D7_1127100,Yes,Yes,"Compound 5 [1]
Compound 11 and 12 [2]","[1] Cheuka, Peter Mubanga et al. “Emerging Drug Targets for Antimalarial Drug Discovery: Validation and Insights into Molecular Mechanisms of Function.” Journal of medicinal chemistry vol. 67,2 (2024): 838-863. doi:10.1021/acs.jmedchem.3c01828
[2] Hampton, Shahienaz E et al. “Investigation of acyclic uridine amide and 5'-amido nucleoside analogues as potential inhibitors of the Plasmodium falciparum dUTPase.” Bioorganic & medicinal chemistry vol. 21,18 (2013): 5876-85. doi:10.1016/j.bmc.2013.07.004
Pérez-Moreno, Guiomar et al. “Validation of Plasmodium falciparum dUTPase as the target of 5'-tritylated deoxyuridine analogues with anti-malarial activity.” Malaria journal vol. 18,1 392. 3 Dec. 2019, doi:10.1186/s12936-019-3025-2
Nguyen, Corinne et al. “Deoxyuridine triphosphate nucleotidohydrolase as a potential antiparasitic drug target.” Journal of medicinal chemistry vol. 48,19 (2005): 5942-54. doi:10.1021/jm050111e
Nguyen, Corinne et al. “Acyclic nucleoside analogues as inhibitors of Plasmodium falciparum dUTPase.” Journal of medicinal chemistry vol. 49,14 (2006): 4183-95. doi:10.1021/jm060126s"
32,3-oxoacyl-[ACP] reductase,FabG,PF3D7_0922900,Yes,Yes,"Hexachlorophene [1]
Bithionol [2]","[1,2] Wickramasinghe, Sasala R et al. “Kinetic, inhibition and structural studies on 3-oxoacyl-ACP reductase from Plasmodium falciparum, a key enzyme in fatty acid biosynthesis.” The Biochemical journal vol. 393,Pt 2 (2006): 447-57. doi:10.1042/BJ20050832
Tasdemir, Deniz, et al. ""Inhibition of Plasmodium f alciparum fatty acid biosynthesis: evaluation of FabG, FabZ, and FabI as drug targets for flavonoids."" Journal of medicinal chemistry 49.11 (2006): 3345-3353.
Goodman, C D, and G I McFadden. “Fatty acid biosynthesis as a drug target in apicomplexan parasites.” Current drug targets vol. 8,1 (2007): 15-30. doi:10.2174/138945007779315579"
33,Isoleucine--tRNA ligase,cyto-IRS,PF3D7_1332900,Yes,Yes,"Thiaisoleucine [1]
Thienopyrimidines [2]
TCMDC-131575 [3]","[1] Istvan, Eva S et al. “Validation of isoleucine utilization targets in Plasmodium falciparum.” Proceedings of the National Academy of Sciences of the United States of America vol. 108,4 (2011): 1627-32. doi:10.1073/pnas.1011560108
[2] Istvan, Eva S et al. “Cytoplasmic isoleucyl tRNA synthetase as an attractive multistage antimalarial drug target.” Science translational medicine vol. 15,686 (2023): eadc9249. doi:10.1126/scitranslmed.adc9249
[3] Gamo, Francisco-Javier et al. “Thousands of chemical starting points for antimalarial lead identification.” Nature vol. 465,7296 (2010): 305-10. doi:10.1038/nature09107"
34,ATP-dependent protease subunit ClpQ,ClpQ / HsIV,PF3D7_1230400,Yes,Yes,ICGEB-L3 [1],"[1] Jain, Shaifali, et al. ""Small-molecule inhibitors targeting prokaryotic ClpQ protease in Plasmodium display anti-malarial efficacies against blood and liver stages."" bioRxiv (2022): 2022-05.
Rathore S, Jain S, Sinha D, Gupta M, Asad M, Srivastava A, Narayanan MS, Ramasamy G, Chauhan VS, Gupta D, Mohmmed A. 2011. Disruption of a mitochondrial protease machinery in Plasmodium falciparum is an intrinsic signal for parasite cell death. Cell Death Dis 2:e231
Jain S, Rathore S, Asad M, Hossain ME, Sinha D, Datta G, Mohmmed A. 2013. The prokaryotic ClpQ protease plays a key role in growth and development of mitochondria in Plasmodium falciparum. Cell Microbiol 15:1660–73"
35,Lactate dehydrogenase,LDH,PF3D7_1324900,Yes,Yes,"Compound 85D [1]
Compound 7 [2]
OXD1 [3]
IOA1 [4]
TDA1 [5]","[1] Joshi, Nishant et al. “Highly potent anti-malarial activity of benzopyrano(4,3-b)benzopyran derivatives and in silico interaction analysis with putative target Plasmodium falciparum lactate dehydrogenase.” Journal of biomolecular structure & dynamics vol. 40,11 (2022): 5159-5174. doi:10.1080/07391102.2020.1868336
[2] Choi, Seoung-ryoung et al. “Design, synthesis, and biological evaluation of Plasmodium falciparum lactate dehydrogenase inhibitors.” Journal of medicinal chemistry vol. 50,16 (2007): 3841-50. doi:10.1021/jm070336k
[3,4,5] Cameron, Angus et al. “Identification and activity of a series of azole-based compounds with lactate dehydrogenase-directed anti-malarial activity.” The Journal of biological chemistry vol. 279,30 (2004): 31429-39. doi:10.1074/jbc.M402433200
Choi, Seoung-ryoung et al. “Generation of oxamic acid libraries: antimalarials and inhibitors of Plasmodium falciparum lactate dehydrogenase.” Journal of combinatorial chemistry vol. 9,2 (2007): 292-300. doi:10.1021/cc060110n"
36,Glutathione S-transferase,GST,PF3D7_1419300,Yes,Yes,"Chloroquine [1]
EA, FEA, CEA [2]  [also has other targets]","[1] Harwaldt, Petra et al. “Glutathione S-transferase of the malarial parasite Plasmodium falciparum: characterization of a potential drug target.” Biological chemistry vol. 383,5 (2002): 821-30. doi:10.1515/BC.2002.086
[2] Sturm, Nicole et al. “Compounds structurally related to ellagic acid show improved antiplasmodial activity.” Antimicrobial agents and chemotherapy vol. 53,2 (2009): 622-30. doi:10.1128/AAC.00544-08
Srivastava, P et al. “Glutathione-S-transferase activity in malarial parasites.” Tropical medicine & international health : TM & IH vol. 4,4 (1999): 251-4. doi:10.1046/j.1365-3156.1999.00387.x"
37,MO15-related protein kinase,MRK,PF3D7_1014400,Yes,Yes,Substituted thiophene sulfonamides [1],"Bhattacharjee, Apurba K et al. “A three-dimensional in silico pharmacophore model for inhibition of Plasmodium falciparum cyclin-dependent kinases and discovery of different classes of novel Pfmrk specific inhibitors.” Journal of medicinal chemistry vol. 47,22 (2004): 5418-26. doi:10.1021/jm040108f
[1] Caridha, Diana et al. “Activity of substituted thiophene sulfonamides against malarial and mammalian cyclin dependent protein kinases.” Bioorganic & medicinal chemistry letters vol. 20,13 (2010): 3863-7. doi:10.1016/j.bmcl.2010.05.039
Woodard, Cassandra L et al. “Evaluation of broad spectrum protein kinase inhibitors to probe the architecture of the malarial cyclin dependent protein kinase Pfmrk.” Bioorganic & medicinal chemistry letters vol. 17,17 (2007): 4961-6. doi:10.1016/j.bmcl.2007.06.032
Woodard, Cassandra L et al. “Oxindole-based compounds are selective inhibitors of Plasmodium falciparum cyclin dependent protein kinases.” Journal of medicinal chemistry vol. 46,18 (2003): 3877-82. doi:10.1021/jm0300983"
38,Orotidine 5'-phosphate decarboxylase,OMPDC / ODCase,PF3D7_1023200,Yes,Yes,"C6-Uridine derivatives [1]
CMP derivatives [2]
UMP and analogues [3]","[1] Bello, Angelica M et al. “Structure-activity relationships of C6-uridine derivatives targeting plasmodia orotidine monophosphate decarboxylase.” Journal of medicinal chemistry vol. 51,3 (2008): 439-48. doi:10.1021/jm7010673
[3] Purohit, Meena K et al. “Novel cytidine-based orotidine-5'-monophosphate decarboxylase inhibitors with an unusual twist.” Journal of medicinal chemistry vol. 55,22 (2012): 9988-97. doi:10.1021/jm301176r
[3] Krungkrai, Sudaratana R et al. “A novel enzyme complex of orotate phosphoribosyltransferase and orotidine 5'-monophosphate decarboxylase in human malaria parasite Plasmodium falciparum: physical association, kinetics, and inhibition characterization.” Biochemistry vol. 44,5 (2005): 1643-52. doi:10.1021/bi048439h"
39,Lysyl-tRNA synthetase,KRS1,PF3D7_1350100,Yes,Yes,"Cladosporin [1]
ASP3026 [2]","Baragaña, Beatriz et al. “Lysyl-tRNA synthetase as a drug target in malaria and cryptosporidiosis.” Proceedings of the National Academy of Sciences of the United States of America vol. 116,14 (2019): 7015-7020. doi:10.1073/pnas.1814685116
[1] Chhibber-Goel, Jyoti, and Amit Sharma. “Side chain rotameric changes and backbone dynamics enable specific cladosporin binding in Plasmodium falciparum lysyl-tRNA synthetase.” Proteins vol. 87,9 (2019): 730-737. doi:10.1002/prot.25699
[1] Hoepfner, Dominic et al. “Selective and specific inhibition of the plasmodium falciparum lysyl-tRNA synthetase by the fungal secondary metabolite cladosporin.” Cell host & microbe vol. 11,6 (2012): 654-63. doi:10.1016/j.chom.2012.04.015
[2] Zhou, Jintong et al. “Inhibition of Plasmodium falciparum Lysyl-tRNA synthetase via an anaplastic lymphoma kinase inhibitor.” Nucleic acids research vol. 48,20 (2020): 11566-11576. doi:10.1093/nar/gkaa862
Chhibber-Goel, Jyoti et al. “Structural analyses of the malaria parasite aminoacyl-tRNA synthetases provide new avenues for antimalarial drug discovery.” Protein science : a publication of the Protein Society vol. 30,9 (2021): 1793-1803. doi:10.1002/pro.4148"
40,Translation elongation factor 2,eEF2,PF3D7_1451100,Yes,Yes,M5717 (DDD498),"McCarthy, James S et al. “Safety, pharmacokinetics, and antimalarial activity of the novel plasmodium eukaryotic translation elongation factor 2 inhibitor M5717: a first-in-human, randomised, placebo-controlled, double-blind, single ascending dose study and volunteer infection study.” The Lancet. Infectious diseases vol. 21,12 (2021): 1713-1724. doi:10.1016/S1473-3099(21)00252-8
Dechering, Koen J et al. “Modelling mosquito infection at natural parasite densities identifies drugs targeting EF2, PI4K or ATP4 as key candidates for interrupting malaria transmission.” Scientific reports vol. 7,1 17680. 15 Dec. 2017, doi:10.1038/s41598-017-16671-0
Baragaña, Beatriz et al. “A novel multiple-stage antimalarial agent that inhibits protein synthesis.” Nature vol. 522,7556 (2015): 315-20. doi:10.1038/nature14451"
41,Niemann-Pick type C1-related protein ,NCR1,PF3D7_0107500,Yes,Yes,"MMV009108 [1]
MMV019662
MMV028038","Istvan, Eva S et al. “Plasmodium Niemann-Pick type C1-related protein is a druggable target required for parasite membrane homeostasis.” eLife vol. 8 e40529. 19 Mar. 2019, doi:10.7554/eLife.40529
[1] Zhang, Zhemin et al. “The Plasmodium falciparum NCR1 transporter is an antimalarial target that exports cholesterol from the parasite's plasma membrane.” Science advances vol. 10,51 (2024): eadq6651. doi:10.1126/sciadv.adq6651
Bhatnagar, Suyash et al. “Diverse Chemical Compounds Target Plasmodium falciparum Plasma Membrane Lipid Homeostasis.” ACS infectious diseases vol. 5,4 (2019): 550-558. doi:10.1021/acsinfecdis.8b00277"
42,Acyl-CoA synthetase 11,ACS11,PF3D7_1238800,Yes,Yes,"MMV693183 [1]
MMV183 [2]","[1] Bopp, Selina et al. “Potent acyl-CoA synthetase 10 inhibitors kill Plasmodium falciparum by disrupting triglyceride formation.” Nature communications vol. 14,1 1455. 16 Mar. 2023, doi:10.1038/s41467-023-36921-2
[1] de Vries, Laura E et al. “Preclinical characterization and target validation of the antimalarial pantothenamide MMV693183.” Nature communications vol. 13,1 2158. 20 Apr. 2022, doi:10.1038/s41467-022-29688-5
[2] Schalkwijk, Joost et al. “Antimalarial pantothenamide metabolites target acetyl-coenzyme A biosynthesis in Plasmodium falciparum.” Science translational medicine vol. 11,510 (2019): eaas9917. doi:10.1126/scitranslmed.aas9917"
43,Importin alpha,IMPα,PF3D7_0812400,Yes,Yes,"Ivermectin, GW5074 [1]
Caffeic Acid Phenethyl Ester (CAPE) [2]
BAY 11-7085 [3]","[1] Walunj, Sujata B et al. “Conservation of Importin α Function in Apicomplexans: Ivermectin and GW5074 Target Plasmodium falciparum Importin α and Inhibit Parasite Growth in Culture.” International journal of molecular sciences vol. 23,22 13899. 11 Nov. 2022, doi:10.3390/ijms232213899
[2] Bhambid, Manasi et al. “Importin α inhibitors act against the differentiated stages of apicomplexan parasites Plasmodium falciparum and Toxoplasma gondii.” The Journal of antimicrobial chemotherapy, dkae434. 18 Dec. 2024, doi:10.1093/jac/dkae434
[3] Walunj, Sujata B et al. “High-Throughput Screening to Identify Inhibitors of Plasmodium falciparum Importin α.” Cells vol. 11,7 1201. 2 Apr. 2022, doi:10.3390/cells11071201"
44,Prolyl-tRNA synthetase,cProRS,PF3D7_1213800,Yes,Yes,"Febrifugine [1] 
Halofuginone [2]","Hewitt, Stephen Nakazawa et al. “Biochemical and Structural Characterization of Selective Allosteric Inhibitors of the Plasmodium falciparum Drug Target, Prolyl-tRNA-synthetase.” ACS infectious diseases vol. 3,1 (2017): 34-44. doi:10.1021/acsinfecdis.6b00078
Herman, Jonathan D et al. “The cytoplasmic prolyl-tRNA synthetase of the malaria parasite is a dual-stage target of febrifugine and its analogs.” Science translational medicine vol. 7,288 (2015): 288ra77. doi:10.1126/scitranslmed.aaa3575
Okaniwa, Masanori et al. “Repositioning and Characterization of 1-(Pyridin-4-yl)pyrrolidin-2-one Derivatives as Plasmodium Cytoplasmic Prolyl-tRNA Synthetase Inhibitors.” ACS infectious diseases vol. 7,6 (2021): 1680-1689. doi:10.1021/acsinfecdis.1c00020
Chhibber-Goel, Jyoti et al. “Structural analyses of the malaria parasite aminoacyl-tRNA synthetases provide new avenues for antimalarial drug discovery.” Protein science : a publication of the Protein Society vol. 30,9 (2021): 1793-1803. doi:10.1002/pro.4148"
45,Acetyl-CoA Synthetase,ACAS,PF3D7_0627800,Yes,Yes,"MMV183 [1]
MMV019721 [2]
MMV084978 [3]
MMV693183 [4]","Schalkwijk, Joost et al. “Antimalarial pantothenamide metabolites target acetyl-coenzyme A biosynthesis in Plasmodium falciparum.” Science translational medicine vol. 11,510 (2019): eaas9917. doi:10.1126/scitranslmed.aas9917
[2,3] Summers, Robert L et al. “Chemogenomics identifies acetyl-coenzyme A synthetase as a target for malaria treatment and prevention.” Cell chemical biology vol. 29,2 (2022): 191-201.e8. doi:10.1016/j.chembiol.2021.07.010
[4] de Vries, Laura E et al. “Preclinical characterization and target validation of the antimalarial pantothenamide MMV693183.” Nature communications vol. 13,1 2158. 20 Apr. 2022, doi:10.1038/s41467-022-29688-5"
46,Phosphoethanolamine N-methyltransferase,PMT,PF3D7_1343000,Yes,Yes,"Amodiaquine [1] 
MMV019918 analog (Compound 25) [2]","[1] Bobenchik, April M et al. “Identification of inhibitors of Plasmodium falciparum phosphoethanolamine methyltransferase using an enzyme-coupled transmethylation assay.” BMC biochemistry vol. 11 4. 19 Jan. 2010, doi:10.1186/1471-2091-11-4
[2] Vallone, Alessandra et al. “Antimalarial agents against both sexual and asexual parasites stages: structure-activity relationships and biological studies of the Malaria Box compound 1-[5-(4-bromo-2-chlorophenyl)furan-2-yl]-N-[(piperidin-4-yl)methyl]methanamine (MMV019918) and analogues.” European journal of medicinal chemistry vol. 150 (2018): 698-718. doi:10.1016/j.ejmech.2018.03.024
Lee, Soon Goo et al. “Crystal structure of phosphoethanolamine methyltransferase from Plasmodium falciparum in complex with amodiaquine.” Bioorganic & medicinal chemistry letters vol. 22,15 (2012): 4990-3. doi:10.1016/j.bmcl.2012.06.032
Lee, Soon Goo et al. “Structure and reaction mechanism of phosphoethanolamine methyltransferase from the malaria parasite Plasmodium falciparum: an antiparasitic drug target.” The Journal of biological chemistry vol. 287,2 (2012): 1426-34. doi:10.1074/jbc.M111.315267"
47,Threonine--tRNA ligase,ThrRS,PF3D7_1126000,Yes,Yes,"Borrelidin [1]
TM84 analogue (Comp 4) [2]","[1] Fröhler, J et al. “Genetic analysis of mutations causing borrelidin resistance by overproduction of threonyl-transfer ribonucleic acid synthetase.” Journal of bacteriology vol. 143,3 (1980): 1135-41. doi:10.1128/jb.143.3.1135-1141.1980
[2] Buitrago, Jhon Alexander Rodriguez et al. “Synthesis and evaluation of an agrocin 84 toxic moiety (TM84) analogue as a malarial threonyl tRNA synthetase inhibitor.” Organic & biomolecular chemistry vol. 21,26 5433-5439. 5 Jul. 2023, doi:10.1039/d3ob00670k
Sugawara, Akihiro et al. “Borrelidin analogues with antimalarial activity: design, synthesis and biological evaluation against Plasmodium falciparum parasites.” Bioorganic & medicinal chemistry letters vol. 23,8 (2013): 2302-5. doi:10.1016/j.bmcl.2013.02.075
Ishiyama, Aki et al. “Borrelidin, a potent antimalarial: stage-specific inhibition profile of synchronized cultures of Plasmodium falciparum.” The Journal of antibiotics vol. 64,5 (2011): 381-4. doi:10.1038/ja.2011.6
Bobrovs, Raitis et al. “Structure-based identification of salicylic acid derivatives as malarial threonyl tRNA-synthetase inhibitors.” PloS one vol. 19,4 e0296995. 1 Apr. 2024, doi:10.1371/journal.pone.0296995
Bolsakova, Jekaterina et al. “Discovery of Malarial Threonyl tRNA Synthetase Inhibitors by Screening of a Focused Fragment Library.” ACS medicinal chemistry letters vol. 15,1 76-80. 14 Dec. 2023, doi:10.1021/acsmedchemlett.3c00403"
48,Phenylalanine--tRNA ligase alpha subunit,cPheRS / cFRS,PF3D7_0109800,Yes,Yes,"BRD1095 [1]
Azetidines (BRD1389) [2]","[1] Kato, Nobutaka et al. “Diversity-oriented synthesis yields novel multistage antimalarial inhibitors.” Nature vol. 538,7625 (2016): 344-349. doi:10.1038/nature19804
[2] Sharma, Manmohan et al. “Structural basis of malaria parasite phenylalanine tRNA-synthetase inhibition by bicyclic azetidines.” Nature communications vol. 12,1 343. 12 Jan. 2021, doi:10.1038/s41467-020-20478-5
Chhibber-Goel, Jyoti et al. “Structural analyses of the malaria parasite aminoacyl-tRNA synthetases provide new avenues for antimalarial drug discovery.” Protein science : a publication of the Protein Society vol. 30,9 (2021): 1793-1803. doi:10.1002/pro.4148"
49,Phenylalanine--tRNA ligase beta subunit,cPheRS / cFRS,PF3D7_1104000,Yes,Yes,"BRD1095 [1]
Azetidines (BRD1389) [2]","[1] Kato, Nobutaka et al. “Diversity-oriented synthesis yields novel multistage antimalarial inhibitors.” Nature vol. 538,7625 (2016): 344-349. doi:10.1038/nature19804
[2] Sharma, Manmohan et al. “Structural basis of malaria parasite phenylalanine tRNA-synthetase inhibition by bicyclic azetidines.” Nature communications vol. 12,1 343. 12 Jan. 2021, doi:10.1038/s41467-020-20478-5
Chhibber-Goel, Jyoti et al. “Structural analyses of the malaria parasite aminoacyl-tRNA synthetases provide new avenues for antimalarial drug discovery.” Protein science : a publication of the Protein Society vol. 30,9 (2021): 1793-1803. doi:10.1002/pro.4148"
50,Nucleoside/nucleobase transporter ,NT1 / ENT1,PF3D7_1347200,Yes,Yes,"GSK4 [1]
Furamide and benzamide derivatives [2]","Parker, M D et al. “Identification of a nucleoside/nucleobase transporter from Plasmodium falciparum, a novel target for anti-malarial chemotherapy.” The Biochemical journal vol. 349,Pt 1 (2000): 67-75. doi:10.1042/0264-6021:3490067
[1] Wang, Chen et al. “Structural basis of the substrate recognition and inhibition mechanism of Plasmodium falciparum nucleoside transporter PfENT1.” Nature communications vol. 14,1 1727. 28 Mar. 2023, doi:10.1038/s41467-023-37411-1
[2] Frame, I J et al. “Yeast-based high-throughput screen identifies Plasmodium falciparum equilibrative nucleoside transporter 1 inhibitors that kill malaria parasites.” ACS chemical biology vol. 10,3 (2015): 775-83. doi:10.1021/cb500981y"
