UniProtID,N_Pockets,Score,Probability,Gene,Length,Protein
O77381,0,0.0,0.0,PF3D7_0317600,161.0,"40S ribosomal protein S11, putative"
O77382,20,19.25,0.837,PF3D7_0317500,1619.0,Kinesin-5
O77383,12,7.63,0.403,PF3D7_0317400,518.0,"DNA replication complex GINS protein, putative"
O77385,15,10.82,0.581,PF3D7_0317200,1553.0,non-specific serine/threonine protein kinase (EC 2.7.11.1)
O77387,6,6.66,0.338,PF3D7_0316900,600.0,RING-type E3 ubiquitin transferase (EC 2.3.2.27)
O77388,1,2.38,0.063,PF3D7_0316700,221.0,"Protein YOP1, putative"
O77389,6,14.43,0.722,PF3D7_0316600,309.0,Formate-nitrite transporter (PfFNT) (Lactate/H(+) symporter) (Lactate/H(+) transporter)
O77390,2,5.31,0.25,PF3D7_0316500,461.0,"Kinetochore protein NUF2, putative"
O77391,11,5.21,0.242,PF3D7_0316400,1008.0,CS domain-containing protein
O77393,44,21.82,0.874,PF3D7_0316200,2423.0,Uncharacterized protein
O77394,3,1.82,0.035,PF3D7_0316000,307.0,Microneme associated antigen
O77395,0,0.0,0.0,PF3D7_0316800,130.0,"40S ribosomal protein S15A, putative"
O77396,1,1.33,0.015,PF3D7_0317000,252.0,"Proteasome subunit alpha type-3, putative (EC 3.4.25.1)"
O77397,1,1.21,0.011,PF3D7_0319300,160.0,"Ubiquitin-conjugating enzyme E2, putative (EC 2.3.2.23)"
O96108,18,7.52,0.396,PF3D7_0200100,1711.0,"Erythrocyte membrane protein 1, PfEMP1"
O96109,0,0.0,0.0,PF3D7_0200200,334.0,Rifin
O96110,2,1.11,0.008,PF3D7_0200300,440.0,"Erythrocyte membrane protein 1 (PfEMP1), exon 2"
O96111,0,0.0,0.0,PF3D7_0200400,304.0,Stevor
O96112,0,0.0,0.0,PF3D7_0200500,370.0,Rifin
O96113,4,3.0,0.098,PF3D7_0200600,375.0,Rifin
O96114,1,1.24,0.012,PF3D7_0200700,330.0,Rifin
O96116,0,0.0,0.0,PF3D7_0201000,312.0,Rifin
O96117,1,2.33,0.06,PF3D7_0201200,356.0,Rifin
O96118,1,1.56,0.024,PF3D7_0201300,305.0,Stevor
O96119,0,0.0,0.0,PF3D7_0201400,156.0,Fam-b protein
O96120,1,15.38,0.752,PF3D7_0201500,254.0,Exported protein (Hyp9)
O96121,5,2.96,0.096,PF3D7_0201600,485.0,PHISTb domain-containing RESA-like protein 1
O96122,15,22.54,0.881,PF3D7_0201700,900.0,"DnaJ protein, putative"
O96123,0,0.0,0.0,PF3D7_0201800,421.0,Knob associated heat shock protein 40
O96124,1,2.31,0.059,PF3D7_0201900,2441.0,Erythrocyte membrane protein 3
O96125,3,7.3,0.381,PF3D7_0202100,302.0,Liver stage associated protein 2
O96126,3,6.61,0.335,PF3D7_0202300,267.0,Plasmodium RESA N-terminal domain-containing protein
O96127,1,2.83,0.088,PF3D7_0202400,1192.0,Translation-enhancing factor
O96128,0,0.0,0.0,PF3D7_0202500,106.0,Early transcribed membrane protein 2
O96129,1,5.93,0.291,PF3D7_0202600,1341.0,"Nucleic acid binding protein, putative"
O96130,6,11.3,0.604,PF3D7_0202700,538.0,"Octaprenyl pyrophosphate synthase (EC 2.5.1.32, EC 2.5.1.90)"
O96134,10,9.65,0.519,PF3D7_0203100,2485.0,"Protein kinase, putative (EC 2.7.11.1)"
O96136,1,2.8,0.087,PF3D7_0203300,242.0,"ERCC1 nucleotide excision repair protein, putative (EC 3.1.21.1)"
O96137,9,9.93,0.534,PF3D7_0203600,635.0,Uncharacterized protein
O96139,7,13.79,0.699,PF3D7_0203900,577.0,"5'-3' exonuclease, N-terminal resolvase-like domain, putative (EC 3.1.16.1)"
O96140,9,6.28,0.315,PF3D7_0204000,797.0,"Condensin-2 complex subunit H2, putative"
O96141,1,2.13,0.049,PF3D7_0204300,696.0,Uncharacterized protein
O96142,4,15.96,0.767,PF3D7_0204500,405.0,Aspartate aminotransferase (EC 2.6.1.1)
O96143,20,16.17,0.772,PF3D7_0204600,1188.0,"5'-3' exonuclease, putative (EC 3.1.11.-)"
O96144,5,10.13,0.545,PF3D7_0204800,416.0,"3'-5' exonuclease, putative (EC 3.1.11.1, EC 3.1.11.2)"
O96145,5,34.61,0.951,PF3D7_0204900,354.0,"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial (EC 2.1.1.201) (Ubiquinone biosynthesis methyltransferase COQ5)"
O96146,1,1.26,0.013,PF3D7_0205000,508.0,Uncharacterized protein
O96147,6,3.41,0.123,PF3D7_0205200,196.0,"MORN repeat protein, putative"
O96148,0,0.0,0.0,PF3D7_0205300,616.0,Uncharacterized protein
O96149,4,2.0,0.043,PF3D7_0205400,457.0,"PCI domain-containing protein, putative"
O96150,0,0.0,0.0,PF3D7_0205500,132.0,"DNA-directed RNA polymerase II 16 kDa subunit, putative (EC 2.7.7.6)"
O96151,11,16.33,0.777,PF3D7_0205600,635.0,Uncharacterized protein
O96153,13,6.92,0.357,PF3D7_0205900,966.0,"26S proteasome regulatory subunit RPN1, putative"
O96154,14,12.6,0.656,PF3D7_0206000,1516.0,"DNA repair protein RAD2, putative (EC 4.2.99.18)"
O96155,0,0.0,0.0,PF3D7_0206100,249.0,Cysteine desulfuration protein SufE (PfSufE)
O96156,7,43.86,0.971,PF3D7_0206200,565.0,Pantothenate transporter
O96158,8,11.42,0.61,PF3D7_0206500,1436.0,Uncharacterized protein
O96159,1,1.52,0.022,PF3D7_0206600,106.0,DNA-directed RNA polymerase subunit
O96161,1,0.99,0.005,PF3D7_0207200,160.0,"Iron-sulfur assembly protein, putative"
O96163,20,14.95,0.74,PF3D7_0207400,946.0,Serine repeat antigen 7 (EC 3.4.22.-)
O96164,17,22.21,0.878,PF3D7_0207700,962.0,Serine repeat antigen 4 (EC 3.4.22.-)
O96165,12,24.11,0.895,PF3D7_0207800,930.0,Serine repeat antigen 3 (EC 3.4.22.-)
O96166,12,18.05,0.814,PF3D7_0207900,1105.0,Serine repeat antigen 2 (EC 3.4.22.-)
O96167,15,33.23,0.946,PF3D7_0208000,994.0,Serine repeat antigen 1 (EC 3.4.22.-)
O96168,24,21.34,0.868,PF3D7_0208100,1789.0,C2 domain-containing protein
O96169,1,1.5,0.022,PF3D7_0208200,300.0,KRR1 small subunit processome component (KRR-R motif-containing protein 1)
O96170,30,21.34,0.869,PF3D7_0208300,1802.0,Uncharacterized protein
O96171,25,21.59,0.872,PF3D7_0208400,2010.0,Phosphatase
O96173,2,2.34,0.06,PF3D7_0208600,498.0,Ribosome-recycling factor
O96174,3,5.53,0.264,PF3D7_0208800,235.0,ER membrane protein complex subunit 10
O96176,9,11.83,0.627,PF3D7_0209100,679.0,"Patatin-like phospholipase, putative (EC 3.1.1.4)"
O96177,1,6.06,0.3,PF3D7_0209200,275.0,"Exosome complex component MTR3, putative (EC 3.1.16.1)"
O96179,0,0.0,0.0,PF3D7_0209500,504.0,Uncharacterized protein
O96181,23,39.51,0.962,PF3D7_0209600,1132.0,"Transporter, putative"
O96182,7,6.98,0.36,PF3D7_0209700,568.0,"RING zinc finger protein, putative"
O96183,0,0.0,0.0,PF3D7_0210000,81.0,Secretory complex protein 61 gamma subunit
O96186,11,5.53,0.264,PF3D7_0210300,457.0,"Monocarboxylate transporter, putative"
O96187,25,16.29,0.775,PF3D7_0210500,1346.0,Heptatricopeptide repeat-containing protein
O96188,11,4.74,0.209,PF3D7_0210600,446.0,Rhoptry surface protein CERLI1 (Cytosolically exposed rhoptry leaflet interacting protein 1) (PfCERLI1) (Rhoptry apical surface protein 2) (PfRASP2)
O96189,3,5.43,0.258,PF3D7_0210700,314.0,"Syntaxin, Qa-SNARE family"
O96190,5,5.68,0.275,PF3D7_0210800,415.0,Uncharacterized protein
O96191,0,0.0,0.0,PF3D7_0210900,284.0,Uncharacterized protein
O96192,9,21.19,0.867,PF3D7_0211100,1121.0,Heptatricopeptide repeat-containing protein
O96193,1,5.77,0.281,PF3D7_0211200,235.0,Ras-related protein Rab-5A (EC 3.6.5.2)
O96195,18,11.78,0.625,PF3D7_0211500,1245.0,"GAF domain-related protein, putative"
O96196,4,4.51,0.193,PF3D7_0211600,209.0,UDP-N-acetylglucosamine transferase subunit ALG14
O96197,22,21.38,0.869,PF3D7_0211700,1233.0,"Tyrosine kinase-like protein, putative (EC 2.7.11.1)"
O96198,13,19.72,0.844,PF3D7_0211800,610.0,asparagine--tRNA ligase (EC 6.1.1.22)
O96199,6,3.6,0.134,PF3D7_0211900,450.0,"Pseudouridine synthase, putative"
O96200,6,30.13,0.934,PF3D7_0212000,311.0,"GDP-fructose:GMP antiporter, putative"
O96201,2,10.53,0.566,PF3D7_0212100,1844.0,Transcription factor with AP2 domain(S)
O96202,0,0.0,0.0,PF3D7_0212200,255.0,"Ribosomal protein L12, mitochondrial, putative"
O96203,4,2.63,0.076,PF3D7_0212300,427.0,Eukaryotic peptide chain release factor subunit 1
O96207,1,3.75,0.144,PF3D7_0212600,250.0,Secreted protein with altered thrombospondin repeat domain
O96208,6,12.91,0.667,PF3D7_0212700,447.0,SRR1-like protein
O96209,16,43.45,0.97,PF3D7_0212800,1224.0,"Multidrug efflux pump, putative"
O96210,5,7.28,0.38,PF3D7_0212900,365.0,Arginyl-tRNA--protein transferase (EC 2.3.2.8)
O96211,1,6.95,0.359,PF3D7_0213000,166.0,ATP synthase-associated protein
O96212,0,0.0,0.0,PF3D7_0213100,328.0,Protein SIS1
O96213,0,0.0,0.0,PF3D7_0213200,126.0,Transmembrane protein
O96215,5,4.28,0.176,PF3D7_0213500,460.0,"Tetratricopeptide repeat protein, putative"
O96217,2,1.91,0.039,PF3D7_0213700,154.0,Protein FAM136A
O96218,13,8.54,0.456,PF3D7_0213800,669.0,Uncharacterized protein
O96219,9,18.36,0.821,PF3D7_0213900,1166.0,"RTR1 domain-containing protein, putative"
O96220,2,26.16,0.911,PF3D7_0214000,542.0,T-complex protein 1 subunit theta
O96221,4,24.07,0.895,PF3D7_0214100,1471.0,Protein transport protein SEC31
O96222,1,0.83,0.003,PF3D7_0214200,212.0,"Ribosomal protein L13, mitochondrial"
O96223,0,0.0,0.0,PF3D7_0214300,2500.0,Transcription factor with AP2 domain(S)
O96224,0,0.0,0.0,PF3D7_0214400,619.0,Protein LTV1 homolog
O96225,2,1.0,0.005,PF3D7_0214500,306.0,Heptatricopeptide repeat-containing protein
O96226,8,8.62,0.461,PF3D7_0214600,1714.0,"Serine/threonine protein kinase, putative (EC 2.7.11.1)"
O96227,1,1.57,0.024,PF3D7_0214700,301.0,Growth arrest-specific protein 8 domain-containing protein
O96228,22,38.37,0.96,PF3D7_0214800,1371.0,Uncharacterized protein
O96229,4,7.89,0.419,PF3D7_0214900,950.0,Rhoptry neck protein 6
O96230,14,15.35,0.752,PF3D7_0215000,885.0,Acyl-CoA synthetase (EC 6.2.1.3)
O96231,0,0.0,0.0,PF3D7_0215200,244.0,Growth arrest-specific protein 8 domain-containing protein
O96232,11,14.27,0.717,PF3D7_0215300,888.0,Acyl-CoA synthetase (EC 6.2.1.3)
O96233,7,5.88,0.288,PF3D7_0215400,972.0,WD repeat-containing protein
O96234,6,5.53,0.264,PF3D7_0215500,764.0,CID domain-containing protein
O96235,2,6.5,0.328,PF3D7_0215600,403.0,Uncharacterized protein
O96236,9,13.24,0.679,PF3D7_0215700,1340.0,DNA-directed RNA polymerase subunit beta (EC 2.7.7.6)
O96237,9,6.45,0.325,PF3D7_0215800,899.0,Origin recognition complex subunit 5 (PfORC5) (EC 3.6.4.-)
O96238,6,24.89,0.902,PF3D7_0215900,260.0,Palmitoyltransferase (EC 2.3.1.225)
O96239,13,17.31,0.8,PF3D7_0216000,1997.0,"DEAD/DEAH box helicase, putative (EC 3.6.4.13)"
O96240,1,1.3,0.014,PF3D7_0216200,227.0,DNA/RNA-binding protein Alba-like domain-containing protein
O96243,18,5.89,0.288,PF3D7_0216400,722.0,Vacuolar protein sorting-associated protein 45
O96244,17,23.8,0.892,PF3D7_0216500,1643.0,WD repeat-containing protein
O96245,3,44.94,0.972,PF3D7_0216600,686.0,MtN3-like protein
O96246,23,111.13,0.997,PF3D7_0216800,1122.0,"TMEM121 domain-containing protein, putative"
O96248,2,5.16,0.238,PF3D7_0216900,549.0,Plasmodium RESA N-terminal domain-containing protein
O96251,23,26.6,0.915,PF3D7_0217000,976.0,Uncharacterized protein
O96252,5,5.93,0.291,PF3D7_0217100,551.0,ATP synthase subunit alpha
O96253,18,13.03,0.672,PF3D7_0217200,1817.0,Uncharacterized protein
O96254,2,1.33,0.015,PF3D7_0217300,141.0,AP complex subunit sigma
O96256,26,34.61,0.951,PF3D7_0217600,1710.0,Uncharacterized protein
O96258,0,0.0,0.0,PF3D7_0217800,107.0,40S ribosomal protein S26
O96259,9,7.2,0.375,PF3D7_0217900,519.0,HotDog ACOT-type domain-containing protein
O96260,2,6.12,0.304,PF3D7_0218000,330.0,"Replication factor C subunit 2, putative"
O96261,13,16.01,0.768,PF3D7_0218100,355.0,Uncharacterized protein
O96263,5,3.24,0.112,PF3D7_0218300,354.0,"rRNA methyltransferase 1, mitochondrial"
O96264,4,18.65,0.827,PF3D7_0218400,562.0,"ATP-dependent RNA helicase DDX47, putative (EC 3.6.4.13)"
O96265,0,0.0,0.0,PF3D7_0218500,101.0,Small nuclear ribonucleoprotein Sm D2 (Sm-D2) (snRNP core protein D2)
O96266,28,42.03,0.967,PF3D7_0218600,2380.0,"Patatin-like phospholipase, putative"
O96267,1,0.86,0.003,PF3D7_0218700,482.0,"Pre-mRNA-processing protein 45, putative"
O96268,6,25.99,0.91,PF3D7_0219100,426.0,"Saccharopine dehydrogenase, putative (EC 1.5.1.9)"
O96270,3,4.83,0.215,PF3D7_0219500,338.0,"Pseudouridine synthase, putative (EC 4.2.1.70)"
O96271,2,7.9,0.42,PF3D7_0219600,904.0,Replication factor C subunit 1
O96272,5,11.09,0.595,PF3D7_0219700,295.0,Plasmodium RESA N-terminal domain-containing protein
O96273,1,6.37,0.321,PF3D7_0219800,319.0,Plasmodium RESA N-terminal domain-containing protein
O96274,3,55.13,0.984,PF3D7_0219900,230.0,Uncharacterized protein
O96275,8,29.3,0.93,PF3D7_0220000,1558.0,Circumsporozoite protein
O96276,13,14.73,0.732,PF3D7_0220100,997.0,"DnaJ protein, putative"
O96278,0,0.0,0.0,PF3D7_0220600,225.0,Exported protein (Hyp9)
O96279,34,17.9,0.81,PF3D7_0220800,1440.0,Cytoadherence linked asexual protein 2
O96283,2,7.42,0.389,PF3D7_0221400,307.0,Stevor
O96287,3,9.71,0.522,PF3D7_0222100,229.0,Pfmc-2TM Maurer's cleft two transmembrane protein
O96288,0,0.0,0.0,PF3D7_0222500,316.0,Rifin
O96289,3,5.67,0.273,PF3D7_0222600,368.0,Rifin
O96290,1,1.04,0.006,PF3D7_0222700,348.0,Rifin
O96291,1,1.47,0.02,PF3D7_0222800,304.0,Stevor
O96292,0,0.0,0.0,PF3D7_0223100,330.0,Rifin
O96293,0,0.0,0.0,PF3D7_0223200,345.0,Rifin
O96294,0,0.0,0.0,PF3D7_0223300,431.0,"Erythrocyte membrane protein 1 (PfEMP1), exon 2"
O96295,1,0.95,0.005,PF3D7_0223400,327.0,Rifin
O96296,28,13.75,0.698,PF3D7_0223500,2177.0,"Erythrocyte membrane protein 1, PfEMP1"
O97224,15,34.98,0.952,PF3D7_0303400,616.0,Palmitoyltransferase (EC 2.3.1.225)
O97225,20,14.54,0.726,PF3D7_0303500,2226.0,"Spindle pole body protein, putative"
O97226,9,22.47,0.881,PF3D7_0303800,593.0,RBR-type E3 ubiquitin transferase (EC 2.3.2.31)
O97227,1,8.78,0.47,PF3D7_0303700,448.0,Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.-)
O97228,2,1.79,0.033,PF3D7_0304000,861.0,"Inner membrane complex protein 1a, putative"
O97229,0,0.0,0.0,PF3D7_0304100,525.0,"Inner membrane complex protein 1e, putative"
O97230,28,7.66,0.405,PF3D7_0304300,1429.0,Uncharacterized protein
O97231,0,0.0,0.0,PF3D7_0304400,104.0,Large ribosomal subunit protein eL42 (60S ribosomal protein L44)
O97232,0,0.0,0.0,PF3D7_0304500,171.0,1-cys-glutaredoxin-like protein-1 (EC 1.11.1.15)
O97233,0,0.0,0.0,PF3D7_0304700,472.0,Uncharacterized protein
O97234,30,21.88,0.875,PF3D7_0304800,1446.0,Anaphase-promoting complex subunit 1
O97235,2,3.25,0.113,PF3D7_0305000,390.0,"Elongation factor Ts, mitochondrial (EF-Ts) (EF-TsMt)"
O97237,3,10.09,0.543,PF3D7_0305200,1139.0,GRIP and coiled-coil domain-containing protein
O97238,13,49.27,0.979,PF3D7_0305300,956.0,"Transporter, putative"
O97240,5,9.87,0.531,PF3D7_0305600,617.0,DNA-(apurinic or apyrimidinic site) endonuclease (PfAPE1) (EC 3.1.11.2)
O97241,0,0.0,0.0,PF3D7_0305700,142.0,"Ubiquitin-conjugating enzyme E2, putative (EC 6.3.2.19)"
O97242,7,8.18,0.436,PF3D7_0305800,1114.0,"P-loop containing nucleoside triphosphate hydrolase, putative"
O97243,1,1.75,0.032,PF3D7_0306100,628.0,GLTSCR protein conserved domain-containing protein
O97244,1,1.54,0.023,PF3D7_0306200,349.0,Activator of Hsp90 ATPase
O97245,11,28.98,0.929,PF3D7_0306400,653.0,Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)
O97246,1,3.63,0.136,PF3D7_0306500,299.0,"Cytochrome c oxidase subunit ApiCOX35, putative"
O97247,2,21.23,0.867,PF3D7_0306800,533.0,CCT-beta
O97248,1,4.71,0.206,PF3D7_0306900,145.0,"40S ribosomal protein S23, putative"
O97249,0,0.0,0.0,PF3D7_0307100,141.0,Small ribosomal subunit protein eS12 (40S ribosomal protein S12)
O97250,2,1.87,0.037,PF3D7_0307200,257.0,"60S ribosomal protein L7, putative"
O97251,2,3.3,0.116,PF3D7_0307300,510.0,"Microtubule-associated protein RP/EB family, putative"
O97252,3,2.38,0.063,PF3D7_0307400,370.0,ATP-dependent Clp protease proteolytic subunit
O97253,0,0.0,0.0,PF3D7_0307500,389.0,Protein FAM33A
O97254,8,10.51,0.565,PF3D7_0307600,746.0,Uncharacterized protein
O97255,2,12.77,0.661,PF3D7_0307700,1826.0,Uncharacterized protein
O97256,1,10.31,0.554,PF3D7_0308500,140.0,"Activator of Hsp90 ATPase, putative"
O97257,14,21.37,0.869,PF3D7_0313900,1096.0,Uncharacterized protein
O97259,3,6.6,0.334,PF3D7_0314400,308.0,Serine/threonine-protein phosphatase (EC 3.1.3.16)
O97260,3,3.1,0.104,PF3D7_0314700,1181.0,RING-type E3 ubiquitin transferase (EC 2.3.2.27)
O97261,1,1.61,0.026,PF3D7_0314500,249.0,Uncharacterized protein
O97264,3,5.17,0.239,PF3D7_0314900,611.0,Abscisic acid G-protein coupled receptor-like domain-containing protein
O97265,3,3.92,0.154,PF3D7_0315000,189.0,"Zinc finger protein, putative"
O97266,2,4.36,0.182,PF3D7_0315100,227.0,Eukaryotic translation initiation factor 4E
O97267,10,3.36,0.12,PF3D7_0315200,2114.0,Circumsporozoite- and TRAP-related protein
O97269,0,0.0,0.0,PF3D7_0315400,256.0,Merozoite surface protein C-terminal domain-containing protein
O97270,4,2.8,0.086,PF3D7_0315500,232.0,Large ribosomal subunit protein uL29m
O97271,4,4.68,0.204,PF3D7_0315600,485.0,"Zinc finger protein, putative"
O97272,24,18.16,0.816,PF3D7_0315700,936.0,Amino acid transporter
O97273,2,5.06,0.23,PF3D7_0315800,365.0,"Zinc finger protein, putative"
O97274,5,4.45,0.189,PF3D7_0315900,277.0,Uncharacterized protein
O97275,13,19.67,0.843,PF3D7_0314300,452.0,Derlin
O97276,25,21.69,0.873,PF3D7_0315300,1767.0,Uncharacterized protein
O97277,11,5.66,0.273,PF3D7_0319400,1363.0,"Kinesin-8, putative"
O97279,3,1.42,0.018,PF3D7_0319900,314.0,Uncharacterized protein
O97280,6,23.72,0.891,PF3D7_0319800,477.0,Uncharacterized protein
O97282,3,28.33,0.925,PF3D7_0320300,535.0,T-complex protein 1 subunit epsilon (CCT-epsilon)
O97284,5,15.34,0.751,PF3D7_0320500,429.0,nicotinamidase (EC 3.5.1.19) (Nicotinamide deamidase)
O97285,4,12.9,0.666,PF3D7_0320800,433.0,ATP-dependent RNA helicase DDX6 (EC 3.6.4.13)
O97286,0,0.0,0.0,PF3D7_0321000,492.0,Uncharacterized protein
O97287,7,26.85,0.917,PF3D7_0321100,1844.0,Leucine-rich repeat protein
O97288,8,9.7,0.522,PF3D7_0321300,916.0,Vacuolar protein sorting-associated protein 13 DH-like domain-containing protein
O97289,17,32.84,0.945,PF3D7_0321500,1074.0,"Peptidase, putative (EC 3.4.-.-)"
O97290,10,3.96,0.157,PF3D7_0321600,735.0,"ATP-dependent RNA helicase DDX42, putative (EC 3.6.4.13)"
O97291,0,0.0,0.0,PF3D7_0321700,1946.0,Microtubule and actin binding protein
O97294,0,0.0,0.0,PF3D7_0322200,753.0,Rhoptry protein
O97295,18,72.54,0.992,PF3D7_0322300,653.0,O-acyltransferase
O97297,5,5.62,0.27,PF3D7_0322500,404.0,"Iron-sulfur assembly protein, putative"
O97299,5,4.05,0.162,PF3D7_0323100,1542.0,Rab-GAP TBC domain-containing protein
O97300,2,2.61,0.076,PF3D7_0323200,441.0,Uncharacterized protein
O97301,8,9.48,0.509,PF3D7_0323300,433.0,Uncharacterized protein
O97302,15,15.07,0.744,PF3D7_0323400,1086.0,Rh5-interacting protein (PfRipr)
O97303,1,1.02,0.006,PF3D7_0323700,693.0,"U4/U6.U5 tri-snRNP-associated protein 1, putative"
O97304,1,1.72,0.031,PF3D7_0323500,315.0,Survival motor neuron-like protein
O97305,12,4.73,0.208,PF3D7_0323600,670.0,BSD domain-containing protein
O97306,3,8.51,0.454,PF3D7_0323800,977.0,Uncharacterized protein
O97307,1,1.4,0.017,PF3D7_0324100,231.0,Pfmc-2TM Maurer's cleft two transmembrane protein
O97308,3,4.56,0.196,PF3D7_0101100,309.0,Exported protein family 4
O97308,3,4.56,0.196,PF3D7_0324300,309.0,Exported protein family 4
O97309,1,1.68,0.029,PF3D7_0324400,349.0,Rifin
O97310,1,1.27,0.013,PF3D7_0324500,317.0,Rifin
O97311,1,3.63,0.136,PF3D7_0324800,371.0,Rifin
O97312,18,15.18,0.748,PF3D7_0324900,2169.0,"Erythrocyte membrane protein 1, PfEMP1"
O97313,1,3.56,0.132,PF3D7_0322900,262.0,Small ribosomal subunit protein eS1 (40S ribosomal protein S3a)
O97314,0,0.0,0.0,PF3D7_0323000,54.0,"Translation machinery-associated protein 7, putative"
O97318,1,1.86,0.036,PF3D7_0319500,309.0,"RNA-binding protein, putative"
O97319,0,0.0,0.0,PF3D7_0319600,156.0,"Elongation factor 1-delta, putative"
O97320,1,1.04,0.006,PF3D7_0320900,158.0,Histone H2A
O97321,7,31.61,0.94,PF3D7_0321200,397.0,UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase (EC 2.7.8.15) (GlcNAc-1-P transferase) (N-acetylglucosamine-1-phosphate transferase)
O97322,10,14.42,0.722,PF3D7_0322600,1347.0,G domain-containing protein
O97323,0,0.0,0.0,PF3D7_0320100,221.0,Protein transport protein SEC22
O97324,32,17.06,0.795,PF3D7_0300100,2209.0,"Erythrocyte membrane protein 1, PfEMP1"
O97325,0,0.0,0.0,PF3D7_0300200,326.0,Rifin
O97326,1,1.85,0.036,PF3D7_0300500,359.0,Rifin
O97327,0,0.0,0.0,PF3D7_0300700,368.0,Rifin
O97328,2,1.59,0.025,PF3D7_0300800,321.0,Rifin
O97329,1,1.88,0.038,PF3D7_0300900,216.0,Stevor-like
O97330,17,34.22,0.949,PF3D7_0301000,819.0,Acyl-CoA synthetase (EC 6.2.1.3)
O97331,5,4.25,0.174,PF3D7_0301500,284.0,Uncharacterized protein
O97332,4,14.91,0.739,PF3D7_0301800,257.0,Plasmodium RESA N-terminal domain-containing protein
O97333,11,9.08,0.486,PF3D7_0301900,398.0,Uncharacterized protein
O97334,4,19.36,0.838,PF3D7_0302000,600.0,"Pre-mRNA-splicing factor PRP46, putative"
O97335,2,6.82,0.349,PF3D7_0301100,256.0,Uncharacterized protein
O97336,0,0.0,0.0,PF3D7_0301700,317.0,EMP1 trafficking protein-7
O97462,2,9.67,0.52,PF3D7_0222000,282.0,Exported protein family 1
O97462,2,9.67,0.52,PF3D7_0324000,282.0,Exported protein family 1
O97462,2,9.67,0.52,PF3D7_0601300,282.0,Exported protein family 1
O97474,3,11.16,0.598,PF3D7_0101200,230.0,Exported protein family 3
O97474,3,11.16,0.598,PF3D7_0222200,230.0,Exported protein family 3
O97474,3,11.16,0.598,PF3D7_0324200,230.0,Exported protein family 3
O97474,3,11.16,0.598,PF3D7_0701500,230.0,Exported protein family 3
O97474,3,11.16,0.598,PF3D7_1039800,230.0,Exported protein family 3
O97474,3,11.16,0.598,PF3D7_1101600,230.0,Exported protein family 3
P21422,15,7.84,0.416,PF3D7_API04300,575.0,DNA-directed RNA polymerase subunit beta
P27362,3,8.26,0.44,PF3D7_0922500,416.0,Phosphoglycerate kinase (EC 2.7.2.3)
P46468,8,6.87,0.353,PF3D7_0711000,1229.0,Putative cell division cycle ATPase
P50250,7,21.88,0.875,PF3D7_0520900,479.0,Adenosylhomocysteinase (AdoHcyase) (EC 3.13.2.1) (PfSAHH) (S-adenosyl-L-homocysteine hydrolase)
P61074,3,10.98,0.589,PF3D7_1361900,274.0,Proliferating cell nuclear antigen 1 (PfPCNA1)
P61075,4,7.96,0.423,PF3D7_1356900,288.0,Cyclin-dependent kinase 2 homolog (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (Protein kinase 5) (PfPK5) (cdc2-related kinase 2)
Q08210,4,33.55,0.947,PF3D7_0603300,569.0,"Dihydroorotate dehydrogenase (quinone), mitochondrial (DHOdehase) (EC 1.3.5.2) (Dihydroorotate oxidase)"
Q25799,6,21.43,0.87,PF3D7_API04700,470.0,Iron-sulfur cluster assembly protein SufB (PfSufB)
Q25800,0,0.0,0.0,PF3D7_API04600,51.0,ORF51 protein
Q25801,1,4.4,0.185,PF3D7_API04500,101.0,ORF101 protein
Q25803,2,2.19,0.052,PF3D7_API04100,227.0,"30S ribosomal protein S2, putative (Rps2 protein)"
Q25805,2,3.44,0.124,PF3D7_API01300,190.0,Large ribosomal subunit protein uL4m
Q25806,0,0.0,0.0,PF3D7_API01400,75.0,"Ribosomal protein L23, putative (Rpl23 protein)"
Q25807,2,2.51,0.07,PF3D7_API01500,245.0,Apicoplast ribosomal protein L2 (Rpl2 protein)
Q25808,1,1.52,0.022,PF3D7_API01600,90.0,Apicoplast ribosomal protein S19 (Rps19 protein)
Q25809,7,6.1,0.302,PF3D7_API01700,214.0,"Ribosomal protein S3, putative (Rps3 protein)"
Q25810,0,0.0,0.0,PF3D7_API01800,129.0,Apicoplast ribosomal protein L16 (Rpl16 protein)
Q25811,0,0.0,0.0,PF3D7_API01900,74.0,Apicoplast ribosomal protein S17 (Rps17 protein)
Q25813,1,1.04,0.006,PF3D7_API02100,128.0,Apicoplast ribosomal protein S8
Q25814,2,3.26,0.114,PF3D7_API02200,168.0,Apicoplast ribosomal protein L6 (Rpl6 protein)
Q25816,0,0.0,0.0,PF3D7_API02400,91.0,ORF91 protein
Q25817,1,2.81,0.087,PF3D7_API02600,132.0,Apicoplast ribosomal protein S11 (Rps11 protein)
Q25818,0,0.0,0.0,PF3D7_API02700,122.0,Apicoplast ribosomal protein S12 (Rps12 protein)
Q25819,1,3.01,0.098,PF3D7_API02800,142.0,Apicoplast ribosomal protein S7 (Rps7 protein)
